# SBD,#Brands,#Key,#Oth,#Rand,#Raw,#SimBrs,#SimKey,AvgWL,Dom len,Domain,Label,MaxWL,MinWL,Path,Path len,Protocol,RandD,Sbd len,Subdomain,URL len
0,0,1,0,4,7,0,0,4.142857142857143,6,crielv,1,6,2,/images/start2.php,18,http,True,3,www,42
0,0,1,0,6,9,0,0,6.222222222222222,17,sagittariusglobal,1,17,3,//portal/cache/Cielo/ambiente-seguro.php,40,http,True,3,www,72
0,0,1,0,5,8,0,0,6.0,17,sagittariusglobal,1,17,3,//portal/cache/Cielo/index.html,31,http,True,3,www,63
0,2,0,0,0,3,0,0,3.6666666666666665,3,goo,1,6,2,/MMT7sp,7,https,True,0,,21
0,0,1,0,6,9,0,0,8.222222222222221,4,abuv,1,25,2,/cliente.conectado40/atendimento_pessoa_fisica/criptografado/index1.php,71,http,False,0,,89
0,0,1,0,2,6,0,0,7.0,9,serveuser,1,11,3,/tudoazul/cadastre.php,22,http,True,11,voetudoazul,54
0,0,1,0,3,7,0,0,4.0,10,rustmaster,1,10,2,/ml/next1.php,13,https,True,3,www,42
0,0,1,0,2,5,16,11,4.0,10,rustmaster,1,10,2,/ml/,4,https,True,3,www,33
0,0,1,0,2,4,0,0,16.5,5,myvnc,1,44,3,/30horasdigitalmodulodesegurancafeitoparavoce/,46,http,False,14,30horasdigital,77
0,1,2,0,8,15,0,0,9.866666666666667,7,i-house,1,64,1,/wp-trackback/en/,17,http,True,0,,172
0,1,0,0,3,5,0,0,5.6,10,prayogispl,1,10,2,/elisnow/ymail.html,19,http,True,0,,39
0,0,1,0,5,9,0,0,4.777777777777778,4,zdcp,1,8,3,/iiii/feedback/login.alibaba.com/login.html,43,http,False,0,,58
0,0,1,0,1,5,0,0,4.8,11,celebrapack,1,11,3,/dhnl/DHL/DHL/,14,http,True,0,,36
0,1,1,0,9,14,0,0,6.071428571428571,8,hyperbay,1,12,3,/merchants/controller/tool/www.alibaba.com/alibaba/trade.php,60,http,True,3,www,105
0,0,1,0,2,3,0,0,8.333333333333334,17,thehotelmanagment,1,17,3,/Prime/,7,http,True,0,,35
0,1,2,0,4,8,0,0,4.625,14,binary-project,1,7,3,/cha/chase/home/action.php,26,https,True,0,,52
0,0,1,0,6,9,0,0,8.222222222222221,4,abuv,1,25,2,/cliente.conectado33/atendimento_pessoa_fisica/criptografado/index1.php,71,http,False,0,,89
0,1,1,0,5,8,0,0,5.625,3,esy,1,9,2,/recovery-chekpoint-login.html,30,http,True,15,cover-acct09964,59
0,2,0,0,2,5,0,0,3.8,9,academica,1,9,1,/U/mail.htm,11,http,True,0,,30
0,1,0,0,5,8,0,0,5.5,3,esy,1,9,2,/recovery-chekpoint-login.html,30,http,True,14,kalempong-fb01,58
0,1,1,0,14,17,0,0,8.176470588235293,18,dujanapublicschool,1,18,1,/b/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/WellsLINK/index.html,133,http,True,0,,162
0,0,1,0,6,9,0,0,8.11111111111111,4,abuv,1,25,2,/cliente.conectado1/atendimento_pessoa_fisica/criptografado/index1.php,70,http,False,0,,88
0,0,1,0,2,5,0,0,9.6,32,paialowereasterncherokeenationsc,1,32,3,/aaaaa/login.htm,16,http,True,0,,59
0,0,1,0,6,10,0,0,7.6,4,abuv,1,25,2,/1cliente.conectado.jw1/atendimento_pessoa_fisica/criptografado/index1.php,74,http,False,0,,92
3,0,0,0,5,6,0,0,4.166666666666667,13,34.201.92.123,1,12,2,/indisponivel.php,17,http,True,0,,37
3,0,0,0,5,6,0,0,3.6666666666666665,14,149.56.144.216,1,8,2,/processa.php,13,http,True,0,,34
0,0,1,0,2,4,0,0,7.0,14,jose200495fgts,1,14,3,/processa.php,13,http,True,0,,38
3,0,0,0,5,6,0,0,3.6666666666666665,13,34.224.68.176,1,9,2,/principal.php,14,http,True,0,,34
0,0,1,0,1,2,0,0,9.5,16,consultasaldossl,1,16,3,,0,http,True,0,,27
0,0,1,0,1,2,0,0,6.0,9,meusaldos,1,9,3,,0,http,True,0,,20
0,0,1,0,2,5,0,0,4.8,11,fgts-mobile,1,8,3,/processa.php,13,http,False,0,,35
0,0,0,0,2,4,0,0,4.75,4,fgts,1,8,3,/processa.php,13,http,False,0,,29
0,1,0,0,2,5,0,0,6.0,3,cba,1,17,2,/chase.php,10,http,False,17,aolonlineservices,41
0,0,1,0,4,6,0,0,9.833333333333334,24,extratofgtsliberados2017,1,24,3,/consulta8647454/principal.php,30,http,True,5,caixa,71
0,0,2,0,7,10,0,0,6.1,8,itempurl,1,14,3,/webmaster-secure/owa/confirm.php,33,http,True,24,webmailupgrade-001-site1,77
0,0,1,0,2,6,0,0,4.0,11,scs-network,1,7,3,/umpi/dba.html,14,http,False,0,,36
0,0,0,0,3,3,0,0,4.666666666666667,9,shittyurl,1,9,2,/5q,3,http,True,0,,23
0,0,1,0,2,6,0,0,5.333333333333333,5,ronin,1,16,2,/hnm/logintoyahoomail.htm,25,http,True,0,,44
0,0,1,0,4,8,0,0,5.25,7,hub-web,1,11,3,/proccesing-fbaccountss/login.php,33,http,False,4,raik,56
0,1,1,0,2,5,0,0,5.6,13,provoliprints,1,13,2,/001/update.html,16,http,True,0,,39
0,2,1,0,3,7,7,3,5.428571428571429,3,hol,1,12,2,/facebook-confirmation,22,http,True,15,service-info-dk,51
0,1,1,0,3,8,0,0,4.75,6,goepsa,1,7,3,/Old%20Files/yahoo/IDCHECK.html,31,http,False,3,www,52
0,0,1,0,1,3,0,0,5.666666666666667,7,tinyurl,1,7,3,/kbvf6qz,8,http,True,0,,26
0,3,1,0,4,12,6,3,2.9166666666666665,2,co,1,5,1,/css//,6,http,True,4,dh16,57
0,1,0,0,5,8,0,0,5.25,3,esy,1,9,2,/recovery-chekpoint-login.html,30,http,True,12,kontuit-fb01,56
0,1,1,0,2,4,0,0,3.75,7,hunmumu,1,7,2,/str/Ma/,8,http,True,0,,26
0,0,2,0,9,13,0,0,6.6923076923076925,11,ctrl4enviro,1,14,2,/wp-includes/SimplePie/Content/Type/Caption/Pelewura/onlineverifica@tion/Preview.htm,84,http,True,0,,106
0,1,0,0,7,13,0,0,5.615384615384615,11,dynamic-dns,1,11,3,/gtwpage1e10/index-jsp.html,27,http,False,42,wwp-cartasi-titoari-portale-sicreuzza-2017,92
0,2,3,0,9,15,0,0,7.066666666666666,8,3mitalia,1,18,2,/iTunesConnecto.store/WebObjects/common/update.woa/app/registre/index.php,73,http,True,18,communitysicurezza,127
0,0,1,0,3,5,0,0,6.4,18,kustomfloordesigns,1,18,3,/doc!/index.php,15,http,True,0,,44
0,0,1,0,4,8,0,0,4.5,6,goepsa,1,7,3,/Old%20Files/opt/doneall.html,29,http,False,3,www,50
0,0,1,0,3,5,0,0,5.6,15,citydesignerweb,1,15,3,/mmm/rain.php,13,http,True,0,,39
0,1,1,0,3,8,0,0,4.75,6,goepsa,1,7,3,/Old%20Files/yahoo/IDCHECK.html,31,http,False,3,www,52
0,0,1,0,1,3,0,0,5.666666666666667,7,tinyurl,1,7,3,/mt87qw3,8,http,True,0,,26
0,0,1,0,3,5,0,0,10.0,19,stikliniekadarbnica,1,19,2,/zrichieattnii/attiinnddeexx.php,32,http,True,0,,61
0,0,1,0,4,6,0,0,11.5,31,consultafgtsinativoliberado2017,1,31,3,/consulta4023542/indisponivel.php,33,http,True,5,caixa,81
0,0,1,0,3,4,0,0,4.25,11,sicoob-card,1,6,3,/2017/,6,http,True,0,,28
0,0,0,0,2,3,0,0,4.0,3,bit,1,7,2,/2pWteUy,8,http,True,0,,21
0,0,0,0,2,3,0,0,4.0,3,bit,1,7,2,/2qkCl2Y,8,http,True,0,,21
0,1,2,0,4,8,0,0,6.125,17,communicatewithsh,1,17,1,/shellnor/mttkl3.com/2650/1survey/,34,http,True,0,,64
0,1,1,0,2,4,0,0,4.0,6,weebly,1,6,2,/,1,http,True,8,unifr-ch,27
0,1,1,0,2,4,0,0,4.75,10,formcrafts,1,10,1,/a/27508,8,https,True,0,,30
0,0,1,0,4,7,0,0,4.571428571428571,10,giftmorden,1,10,2,/a1/crypt/index.html,20,http,True,3,www,45
0,0,0,0,4,5,0,0,13.4,10,snspsladwa,1,32,3,/googledrive/GDocHistory/e5252c7fc60f2701c2555c99694aca59/,58,https,True,0,,80
0,0,0,0,3,3,0,0,8.333333333333334,5,urest,1,17,3,/,1,http,True,17,outlookmaintenace,35
0,0,2,0,2,7,0,0,34.285714285714285,9,viewerpdf,1,199,3,/098876665/verification.php,27,http,False,0,,253
